year,region_description,state,occurrence,latitude,longitude
2015,Rockies/Mid-West,Oklahoma,80,35.492207,-97.503342
2015,Northeast,Oregon,0,44.938461,-123.030403
2015,New England,Pennsylvania,0,40.264378,-76.883598
2015,Gulf Coast East,Puerto Rico,0,18.200178,-66.664513
2015,New England,Rhode Island,0,41.830914,-71.414963
2015,Mid-Atlantic,South Carolina,28,34.000343,-81.033211
2015,Plains,South Dakota,0,44.367031,-100.346405
2015,Central,Tennessee,70,36.16581,-86.784241
2015,Gulf Coast West,Texas,570,30.27467,-97.740349
2015,Gulf Coast East,U.S. Virgin Islands,0,18.343441,-64.867163
2015,Rockies/Mid-West,Utah,0,40.777477,-111.888237
2015,Mideast North,Vermont,0,44.262436,-72.580536
2015,Mid-Atlantic,Virginia,0,37.538857,-77.43364
2015,Northeast,Washington,2,47.035805,-122.905014
2015,Mideast North,West Virginia,0,38.336246,-81.612328
2015,North Central,Wisconsin,8,43.074684,-89.384445
2015,Rockies/Mid-West,Wyoming,2,41.140259,-104.820236
2016,Gulf Coast East,Alabama,0,32.377716,-86.300568
2016,Southwest/Pacific,Alaska,24,58.301598,-134.420212
2016,Southwest/Pacific,Arizona,38,33.448143,-112.096962
2016,Plains,Arkansas,12,34.746613,-92.288986
2016,Southwest/Pacific,California,0,38.576668,-121.493629
2016,Rockies/Mid-West,Colorado,68,39.739227,-104.984856
2016,Mideast North,Connecticut,4,41.764046,-72.682198
2016,Mideast South,Delaware,0,39.157307,-75.519722
2016,Gulf Coast East,Florida,210,30.438118,-84.281296
2016,Gulf Coast East,Georgia,0,33.749027,-84.388229
2016,Southwest/Pacific,Guam,0,13.444304,144.793732
2016,Southwest/Pacific,Hawaii,4,21.307442,-157.857376
2016,Northeast,Idaho,0,43.617775,-116.199722
2016,North Central,Illinois,48,39.798363,-89.654961
2016,North Central,Indiana,8,39.768623,-86.162643
2016,North Central,Iowa,0,41.591087,-93.603729
2016,Rockies/Mid-West,Kansas,4,39.048191,-95.677956
